"V1" "V2"
"208" "Proteus" 4
"218" "Arthrospira" 4
"226" "Xenorhabdus" 4
"234" "Halobiforma" 4
"262" "Ferrimonas" 4
"264" "Collinsella" 4
"294" "Janthinobacterium" 4
"370" "Gemella" 4
"431" "Coprococcus" 4
"436" "Marinobacterium" 4
"458" "Cellulophaga" 4
"460" "Coprobacillus" 4
"466" "Archaeoglobus" 4
"498" "Thiothrix" 4
"527" "Acidiphilium" 4
"552" "Natronorubrum" 4
"556" "Azotobacter" 4
"578" "Exiguobacterium" 4
"590" "Roseobacter" 4
"594" "Entomoplasma" 4
"715" "Rheinheimera" 4
"774" "Pontibacillus" 4
"787" "Hydrogenobaculum" 4
"823" "Cedecea" 4
"831" "Desulfobulbus" 4
"894" "Faecalibacterium" 4
"914" "Pseudothermotoga" 4
"921" "Azospirillum" 4
"937" "Rhodospirillum" 4
"985" "Leifsonia" 4
"1067" "Dyadobacter" 4
"1115" "Anaerostipes" 4
"1116" "Variovorax" 4
"1119" "Planococcus" 4
"1129" "Eggerthella" 4
"1161" "Thermoanaerobacterium" 4
"1183" "Knoellia" 4
"1185" "Nitratireductor" 4
"1195" "Nocardioides" 4
"1213" "Spirosoma" 4
"1228" "Aquimarina" 4
"1254" "Thauera" 4
"1256" "Butyrivibrio" 4
"1266" "Facklamia" 4
"1292" "Halobacillus" 4
"1321" "Methanobacterium" 4
"1325" "Parvimonas" 4
"45" "Rhodanobacter" 3
"85" "Phaeobacter" 3
"90" "Loktanella" 3
"103" "Kingella" 3
"109" "Jeotgalicoccus" 3
"121" "Oceanobacillus" 3
"132" "Neorickettsia" 3
"144" "Maribacter" 3
"153" "Methanosaeta" 3
"158" "Polaromonas" 3
"167" "Bdellovibrio" 3
"173" "Salinicoccus" 3
"176" "Photorhabdus" 3
"192" "Moritella" 3
"196" "Pontibacter" 3
"199" "Intrasporangium" 3
"214" "Cellvibrio" 3
"221" "Halobacterium" 3
"260" "Oceanicola" 3
"266" "Slackia" 3
"325" "Metallosphaera" 3
"329" "Cohnella" 3
"364" "Leucobacter" 3
"451" "Flexibacter" 3
"459" "Micromonospora" 3
"464" "Actinopolyspora" 3
"467" "Azoarcus" 3
"482" "Dysgonomonas" 3
"484" "Sulfurimonas" 3
"492" "Asticcacaulis" 3
"516" "Sutterella" 3
"545" "Acidaminococcus" 3
"546" "Clavibacter" 3
"548" "Granulicella" 3
"555" "Ochrobactrum" 3
"557" "Virgibacillus" 3
"562" "Patulibacter" 3
"600" "Alkaliphilus" 3
"605" "Psychroflexus" 3
"610" "Natronococcus" 3
"618" "Halorhabdus" 3
"620" "Streptacidiphilus" 3
"634" "Aerococcus" 3
"639" "Desulfobacter" 3
"641" "Sporolactobacillus" 3
"646" "Myxococcus" 3
"651" "Anabaena" 3
"664" "Methylocystis" 3
"692" "Chloroflexus" 3
"695" "Roseovarius" 3
"700" "Dyella" 3
"722" "Kangiella" 3
"744" "Arenibacter" 3
