"V1" "V2"
"697" "Caldalkalibacillus" 1
"699" "Adhaeribacter" 1
"701" "Aquamicrobium" 1
"703" "Nitratifractor" 1
"704" "Cylindrospermopsis" 1
"705" "Lachnoclostridium" 1
"706" "Tepidiphilus" 1
"707" "Fodinicurvata" 1
"711" "Desmospora" 1
"712" "Mastigocladopsis" 1
"717" "Avibacterium" 1
"718" "Oceanobacter" 1
"719" "Caloramator" 1
"720" "Polymorphum" 1
"721" "Psychrilyobacter" 1
"725" "Kiloniella" 1
"726" "Pelagibacterium" 1
"727" "Eremococcus" 1
"728" "Sphaerobacter" 1
"730" "Flectobacillus" 1
"732" "Owenweeksia" 1
"733" "Polycyclovorans" 1
"734" "Nitritalea" 1
"736" "Prolixibacter" 1
"739" "Methylophilus" 1
"741" "Coprobacter" 1
"742" "Kandleria" 1
"745" "Centipeda" 1
"746" "Xanthobacter" 1
"747" "Gemmata" 1
"750" "Halorhodospira" 1
"751" "Dielma" 1
"753" "Renibacterium" 1
"755" "Skermanella" 1
"756" "Fibrella" 1
"759" "Aureimonas" 1
"762" "Maricaulis" 1
"763" "Edaphobacter" 1
"764" "Ornithinimicrobium" 1
"766" "Saprospira" 1
"768" "Stanieria" 1
"769" "Syntrophomonas" 1
"770" "Roseibium" 1
"771" "Methylococcus" 1
"772" "Dinoroseobacter" 1
"777" "Tsukamurella" 1
"779" "Desulfonatronum" 1
"780" "Nitrococcus" 1
"781" "Dermatophilus" 1
"784" "Caldimonas" 1
"785" "Acidianus" 1
"786" "Leclercia" 1
"788" "Aeromicrobium" 1
"789" "Anaerovibrio" 1
"792" "Anaeroglobus" 1
"794" "Acidobacterium" 1
"796" "Arsenophonus" 1
"798" "Draconibacterium" 1
"799" "Janibacter" 1
"802" "Plesiomonas" 1
"804" "Nitrincola" 1
"805" "Planktomarina" 1
"806" "Arhodomonas" 1
"807" "Vitreoscilla" 1
"808" "Propionimicrobium" 1
"812" "Simiduia" 1
"813" "Truepera" 1
"814" "Marinithermus" 1
"815" "Thiorhodococcus" 1
"825" "Azohydromonas" 1
"827" "Austwickia" 1
"828" "Epilithonimonas" 1
"829" "Pyramidobacter" 1
"830" "Chloroherpeton" 1
"833" "Enorma" 1
"835" "Syntrophothermus" 1
"836" "Propionispira" 1
"838" "Streptobacillus" 1
"840" "Acetonema" 1
"842" "Bacteroidetes" 1
"845" "Commensalibacter" 1
"848" "Thermovirga" 1
"849" "Brackiella" 1
"851" "Blastopirellula" 1
"852" "Fluviicola" 1
"853" "Arcticibacter" 1
"854" "Lechevalieria" 1
"855" "Aphanizomenon" 1
"857" "Conexibacter" 1
"858" "Dichelobacter" 1
"859" "Gaetbulibacter" 1
"863" "Zunongwangia" 1
"864" "Haliangium" 1
"865" "Aromatoleum" 1
"866" "Methanohalobium" 1
"867" "Ktedonobacter" 1
"869" "Herpetosiphon" 1
"870" "Thermogladius" 1
"871" "Dactylococcopsis" 1
"873" "Geminocystis" 1
"876" "Carboxydothermus" 1
"877" "Porphyrobacter" 1
"879" "Chlorobaculum" 1
"880" "Oceanithermus" 1
"882" "Solitalea" 1
"883" "Meganema" 1
"886" "Pedosphaera" 1
"888" "Eggerthia" 1
"890" "Brachymonas" 1
"891" "Ponticaulis" 1
"895" "Acidimicrobium" 1
"899" "Robiginitomaculum" 1
"901" "Lachnobacterium" 1
"902" "Salinivibrio" 1
"903" "Catellicoccus" 1
"904" "Anaeroarcus" 1
"908" "Marinilabilia" 1
"909" "Sediminimonas" 1
"910" "Dolosigranulum" 1
"912" "Microvirgula" 1
"918" "Marinitoga" 1
"919" "Paucisalibacillus" 1
"920" "Sneathia" 1
"922" "Kineosphaera" 1
"923" "Geothrix" 1
"924" "Stackebrandtia" 1
"925" "Natranaerobius" 1
"926" "Cesiribacter" 1
"929" "Halosimplex" 1
"931" "Desulfobacula" 1
"932" "Actinoalloteichus" 1
"934" "Cryptobacterium" 1
"938" "Symbiobacterium" 1
"939" "Halomicrobium" 1
"941" "Flexithrix" 1
"942" "Aestuariibacter" 1
"947" "Yaniella" 1
"949" "Effusibacillus" 1
"951" "Herbidospora" 1
"952" "Methanospirillum" 1
"953" "Phenylobacterium" 1
"954" "Humibacter" 1
"955" "Thermosphaera" 1
"956" "Isosphaera" 1
"957" "Desulfohalobium" 1
"958" "Halotalea" 1
"960" "Wolinella" 1
"961" "Necropsobacter" 1
"963" "Intestinibacter" 1
"965" "Thiolapillus" 1
"966" "Pelotomaculum" 1
"967" "Terrisporobacter" 1
"970" "Kosakonia" 1
"971" "Aminiphilus" 1
"974" "Parvibaculum" 1
"975" "Dactylosporangium" 1
"976" "Leeia" 1
"977" "Hydrogenobacter" 1
"978" "Salipiger" 1
"983" "Agrococcus" 1
"984" "Niveispirillum" 1
"986" "Curtobacterium" 1
"989" "Methylomarinum" 1
"990" "Cryptosporangium" 1
"991" "Rickettsiella" 1
"993" "Thiocapsa" 1
"995" "Catenibacterium" 1
"996" "Prochlorothrix" 1
"998" "Elusimicrobium" 1
"1004" "Eikenella" 1
"1005" "Moorella" 1
"1006" "Methanosphaerula" 1
"1008" "Catelliglobosispora" 1
"1013" "Holdemania" 1
"1017" "Altibacter" 1
"1019" "Johnsonella" 1
"1021" "Devosia" 1
"1022" "Actinosynnema" 1
"1023" "Alysiella" 1
"1025" "Derxia" 1
"1027" "Terasakiella" 1
"1029" "Alkalilimnicola" 1
"1030" "Allobaculum" 1
"1032" "Komagataeibacter" 1
"1033" "Leptonema" 1
"1034" "Nautilia" 1
"1035" "Erysipelatoclostridium" 1
"1036" "Methyloversatilis" 1
"1038" "Granulicoccus" 1
"1040" "Halalkalicoccus" 1
"1041" "Rivularia" 1
"1042" "Sporomusa" 1
"1044" "Melioribacter" 1
"1045" "Hylemonella" 1
"1047" "Actinomycetospora" 1
"1048" "Desulfatiglans" 1
"1050" "Gayadomonas" 1
"1051" "Thermomonospora" 1
"1052" "Sharpea" 1
"1053" "Fimbriimonas" 1
"1054" "Actinocatenispora" 1
"1055" "Ethanoligenens" 1
"1056" "Weeksella" 1
"1058" "Aminomonas" 1
"1062" "Neptunomonas" 1
"1063" "Sanguibacter" 1
"1064" "Anditalea" 1
"1065" "Arcanobacterium" 1
"1068" "Geodermatophilus" 1
"1069" "Rudanella" 1
"1073" "Phaeodactylibacter" 1
"1074" "Caldivirga" 1
"1076" "Schleiferia" 1
"1077" "Jannaschia" 1
"1078" "Duganella" 1
"1079" "Mariprofundus" 1
"1080" "Fretibacterium" 1
"1081" "Pseudopedobacter" 1
"1082" "Starkeya" 1
"1083" "Gallionella" 1
"1084" "Ignisphaera" 1
"1086" "Caloranaerobacter" 1
"1088" "Desulfitibacter" 1
"1090" "Cobetia" 1
"1091" "Thermomonas" 1
"1094" "Joostella" 1
"1095" "Chitinivibrio" 1
"1096" "Algicola" 1
"1097" "Methanopyrus" 1
"1098" "Pseudoclavibacter" 1
"1099" "Heliobacterium" 1
"1101" "Rhodonellum" 1
"1103" "Nitrospina" 1
"1105" "Siansivirga" 1
"1107" "Grimontia" 1
"1108" "Aestuariimicrobium" 1
"1109" "Longispora" 1
"1110" "Lentisphaera" 1
"1112" "Aliagarivorans" 1
"1118" "Litoreibacter" 1
"1120" "Simplicispira" 1
"1123" "Rubidibacter" 1
"1127" "Emticicia" 1
"1131" "Mucilaginibacter" 1
"1137" "Desulfurivibrio" 1
"1139" "Fulvivirga" 1
"1140" "Dolichospermum" 1
"1141" "Paludibacter" 1
"1142" "Methanofollis" 1
"1143" "Acidilobus" 1
"1144" "Lamprocystis" 1
"1145" "Sediminibacillus" 1
"1146" "Thermovibrio" 1
"1147" "Thermophagus" 1
"1148" "Deferribacter" 1
"1149" "Tetrasphaera" 1
"1151" "Phascolarctobacterium" 1
"1156" "Perlucidibaca" 1
"1158" "Stomatobaculum" 1
"1162" "Anaerotruncus" 1
"1163" "Planktothrix" 1
"1164" "Ignavibacterium" 1
"1166" "Arsenicicoccus" 1
"1167" "Cylindrospermum" 1
"1168" "Frateuria" 1
"1170" "Anaerofustis" 1
"1173" "Haloglycomyces" 1
"1174" "Haloplasma" 1
"1176" "Gryllotalpicola" 1
"1177" "Simkania" 1
"1179" "Methanosphaera" 1
"1182" "Gilliamella" 1
"1184" "Chroococcidiopsis" 1
"1188" "Marvinbryantia" 1
"1189" "Turneriella" 1
"1192" "Phaseolibacter" 1
"1200" "Actinopolymorpha" 1
"1202" "Rikenella" 1
"1203" "Desulfobacca" 1
"1204" "Salsuginibacillus" 1
"1205" "Saccharophagus" 1
"1208" "Methanomassiliicoccus" 1
"1209" "Indibacter" 1
"1211" "Methanomicrobium" 1
"1215" "Rhodovulum" 1
"1216" "Ferrovum" 1
"1220" "Thalassobaculum" 1
"1221" "Andreprevotia" 1
"1223" "Alkaliflexus" 1
"1225" "Mycetocola" 1
"1227" "Picrophilus" 1
"1233" "Marinococcus" 1
"1234" "Kineococcus" 1
"1236" "Caldisericum" 1
"1241" "Olivibacter" 1
"1243" "Oerskovia" 1
"1244" "Planomicrobium" 1
"1249" "Clostridiisalibacter" 1
"1253" "Isoptericola" 1
"1255" "Afifella" 1
"1258" "Chitinophaga" 1
"1260" "Chelativorans" 1
"1262" "Shimwellia" 1
"1263" "Methyloferula" 1
"1264" "Sagittula" 1
"1269" "Succinivibrio" 1
"1270" "Enhydrobacter" 1
"1271" "Cucumibacter" 1
"1272" "Crocosphaera" 1
"1277" "Halalkalibacillus" 1
"1279" "Rhodoluna" 1
"1280" "Robiginitalea" 1
"1282" "Lentzea" 1
"1283" "Desulfurobacterium" 1
"1285" "Haematobacter" 1
"1286" "Leptothrix" 1
"1289" "Roseibacterium" 1
"1291" "Methylosinus" 1
"1293" "Waddlia" 1
"1295" "Pimelobacter" 1
"1296" "Methylocaldum" 1
"1299" "Marmoricola" 1
"1300" "Wenxinia" 1
"1305" "Mobilicoccus" 1
"1307" "Aliiglaciecola" 1
"1308" "Mucispirillum" 1
"1313" "Thalassolituus" 1
"1315" "Allochromatium" 1
"1316" "Galbibacter" 1
"1320" "Verrucomicrobiae" 1
"1322" "Faecalicoccus" 1
"1323" "Phaeospirillum" 1
"1326" "Caldibacillus" 1
"1327" "Prauserella" 1
"1328" "Balneola" 1
"1330" "Flexistipes" 1
"1331" "Zhouia" 1
"1332" "Bavariicoccus" 1
"1335" "Chitiniphilus" 1
"1336" "Salinispira" 1
"1337" "Acaricomes" 1
"1338" "Opitutus" 1
"1339" "Salinimonas" 1
"1342" "Jejuia" 1
"1343" "Natronolimnobius" 1
"1345" "Leeuwenhoekiella" 1
"1347" "Marivirga" 1
"1349" "Phycicoccus" 1
"1350" "Verrucosispora" 1
"1351" "Deefgea" 1
"1353" "Maritalea" 1
"1355" "Ammonifex" 1
"1358" "Atopobacter" 1
"1360" "Alloiococcus" 1
"1362" "Thermobrachium" 1
"1363" "Henriciella" 1
