Desulfurispirillum	1
Turicella	1
Maritimibacter	1
Janthinobacterium	4
Inquilinus	1
Woodsholea	1
Hamadaea	1
Terriglobus	2
Thalassobium	1
Fibrobacter	1
Mangrovimonas	1
Chlorogloeopsis	1
Tyzzerella	1
Alkalibacillus	1
Spiroplasma	10
Glaciibacter	1
Kozakia	1
Natronobacterium	1
Jonquetella	2
Methanococcoides	1
Pseudorhodobacter	1
Diplosphaera	1
Promicromonospora	1
Cytophaga	2
Zavarzinella	1
MetaCyc	Organisms
	1
Alloscardovia	2
Shuttleworthia	1
Spirillospora	1
Microlunatus	1
Calditerrivibrio	1
Pseudophaeobacter	1
Ureaplasma	5
Metallosphaera	3
Kosmotoga	1
Kutzneria	1
Pluralibacter	1
Cohnella	3
Raphidiopsis	1
Gordonibacter	1
Desulfomonile	1
Formosa	2
Methylomonas	1
Pseudoramibacter	1
Gloeocapsa	2
Pyrobaculum	7
Ensifer	2
Youngiibacter	1
Anoxybacillus	2
Sulfuricurvum	1
Budvicia	1
Succinispira	1
Geoalkalibacter	1
Halarchaeum	1
Plesiocystis	1
Nafulsella	1
Varibaculum	1
Hoeflea	1
Epulopiscium	1
Stappia	1
Thermosediminibacter	1
Burkholderia	74
Acetivibrio	1
Natrialba	2
Brevundimonas	6
Catonella	1
Thiovulum	1
Pseudoalteromonas	17
Catenulispora	1
Desulfuromonas	1
Lewinella	2
Lactococcus	14
Leucobacter	3
Mucinivorans	1
Terribacillus	1
Kushneria	1
Pediococcus	7
Brevibacterium	7
Gemella	4
Alicyclobacillus	8
Shewanella	30
Gracilimonas	1
Lutibaculum	1
Lonsdalea	1
Succinivibrionaceae	1
Halobacteroides	1
Halogranum	1
Eubacterium	21
Tannerella	2
Thermofilum	2
Syntrophorhabdus	1
Lachnospira	1
Petrotoga	1
Pannonibacter	1
Methyloceanibacter	1
Aggregatibacter	11
Desulfococcus	2
Pseudaminobacter	1
Alistipes	6
Haliea	1
Eudoraea	1
Gemmatimonas	1
Wolbachia	7
Nodularia	1
Gynuella	1
Chromohalobacter	1
Mastigocoleus	1
Haliscomenobacter	1
Salinarimonas	1
Lacinutrix	1
Thermoactinomyces	1
Pseudodonghicola	1
Mus	1
Ferroplasma	1
Ruminococcaceae	1
Herminiimonas	1
Anaerobiospirillum	1
Methylocella	1
Coxiella	6
Dechloromonas	2
Methanococcus	8
Basilea	1
Thermotoga	10
Thermosynechococcus	2
Azorhizobium	2
Kamptonema	1
Desulfonatronovibrio	1
Succinatimonas	1
Pyrolobus	1
Microscilla	1
Laceyella	1
Spirulina	1
Solimonas	2
Sporocytophaga	1
Raoultella	1
Flavobacteriaceae	3
Catenuloplanes	1
Tumebacillus	1
Paraoerskovia	1
Coprococcus	4
Thermococcus	12
Thermosinus	1
Chryseobacterium	14
Olleya	1
Marinobacterium	4
Carboxydibrachium	1
Scardovia	2
butyrate-producing	2
Magnetospira	1
Mesotoga	1
Rubrivivax	1
Crocinitomix	1
Saccharibacter	1
Paenibacillus	52
Methanohalophilus	1
Ralstonia	15
Dethiobacter	1
Persephonella	1
Thalassobacter	1
Flexibacter	3
Nonomuraea	2
Acidothermus	1
Salinarchaeum	1
Peptostreptococcaceae	4
Roseiflexus	2
Ornithinibacillus	1
Cellulophaga	4
Micromonospora	3
Coprobacillus	4
Winogradskyella	2
Thermobaculum	1
Mahella	1
Actinopolyspora	3
Candidatus	105
Archaeoglobus	4
Azoarcus	3
Chamaesiphon	1
Kitasatospora	5
Magnetococcus	1
Rubritalea	1
Sulfuritalea	1
Caldithrix	1
Phycisphaera	1
Geobacillus	15
Zobellia	2
Desulforegula	1
Catenovulum	1
Idiomarina	7
Azonexus	1
Fervidicella	1
Dysgonomonas	3
Thermomicrobium	1
Sulfurimonas	3
Fluoribacter	1
Cloacibacillus	1
Sneathiella	1
Pelagibaca	1
Salinimicrobium	2
Methyloglobulus	1
Thioalkalivibrio	5
Asticcacaulis	3
Solirubrobacter	1
Spongiibacter	1
Propionicicella	1
Hellea	1
Paraglaciecola	1
Thiothrix	4
Cupriavidus	6
Faecalitalea	1
Carnimonas	1
Afipia	5
Smaragdicoccus	1
Pseudobacteroides	1
Senegalimassilia	1
Geitlerinema	1
Methylovorus	2
Oceanospirillum	2
Aurantimonas	1
Trypanosoma	1
Advenella	2
Mariniradius	1
Nevskia	2
Brucella	35
Oleispira	1
Sutterella	3
Marichromatium	1
Bibersteinia	1
Methanoculleus	2
Prevotella	54
Pseudoduganella	1
Photobacterium	8
Methanothermobacter	2
Kytococcus	1
Oscillatoriales	1
Adlercreutzia	1
Acidiphilium	4
Timonella	1
Pseudonocardia	6
Halopiger	1
Rubritepida	1
Mitsuokella	1
Marinobacter	12
Enterovibrio	2
Leminorella	1
Parachlamydia	2
Desulfatibacillum	1
Halovivax	1
Streptococcus	512
Croceibacter	1
Syntrophobotulus	1
Campylobacter	88
Buttiauxella	1
Franconibacter	1
Acidaminococcus	3
Clavibacter	3
Sphingobium	13
Granulicella	3
Thiocystis	1
Methanomethylovorans	1
Nesiotobacter	1
Natronorubrum	4
Oscillatoria	2
Terrimonas	1
Ochrobactrum	3
Azotobacter	4
Virgibacillus	3
Conchiformibius	2
Zooshikella	1
Glaciecola	9
Fibrisoma	1
Patulibacter	3
Thioflavicoccus	1
Colwellia	2
Haladaptatus	2
Halothiobacillus	1
Halorubrum	19
Thermodesulfatator	2
Diplorickettsia	1
Bhargavaea	1
Chrysiogenes	1
Haloquadratum	2
Erythrobacter	2
Candida	1
Orientia	2
Amycolatopsis	13
Hyphomicrobium	5
Exiguobacterium	4
Erysipelotrichaceae	5
Leptolyngbya	2
Ilyobacter	1
Anaerophaga	1
Hahella	2
Subdoligranulum	2
Ramlibacter	1
Beijerinckia	2
Agarivorans	1
Thioploca	1
Lentibacillus	1
Roseobacter	4
Sphingobacterium	6
Oenococcus	7
Desulfotignum	1
Entomoplasma	4
Serratia	18
Kinetoplastibacterium	2
Scytonema	2
Tistrella	1
Caldilinea	1
Alkaliphilus	3
Desulfonatronospira	1
Thermodesulfovibrio	2
Caminibacter	1
Methanothermus	1
Psychroflexus	3
Bizionia	1
Holophaga	1
Haemophilus	31
Oceaniovalibus	1
Natronococcus	3
Halyomorpha	1
Jeotgalibacillus	1
Bacillus	211
Stenotrophomonas	6
Sporichthya	1
Algibacter	1
Schlesneria	1
Halorhabdus	3
Coraliomargarita	1
Streptacidiphilus	3
Ignatzschineria	1
Thermodesulfobium	1
Polynucleobacter	2
Proteiniclasticum	1
Xenophilus	1
Syntrophus	1
Desulfurella	1
Gramella	2
Fructobacillus	1
Methylophaga	5
Pusillimonas	2
Ornithobacterium	1
Defluviitoga	1
Aerococcus	3
Oscillibacter	2
Gulosibacter	1
Stenoxybacter	1
Chthonomonas	1
Desulfobacter	3
Segetibacter	1
Sporolactobacillus	3
Legionella	24
Aquaspirillum	1
Psychromonas	5
Methylohalobius	1
Myxococcus	3
Deinococcus	17
Chlorobium	8
Prochlorococcus	13
Thiorhodospira	1
Anabaena	3
Imtechella	1
Lautropia	1
Zimmermannella	1
Bacteriovorax	1
Snodgrassella	1
Nanoarchaeum	1
Pseudovibrio	2
Succinimonas	1
Saccharomonospora	7
Ruania	1
Kordiimonas	1
Caldanaerobius	1
Methylocystis	3
Tuberibacillus	1
Piscirickettsia	1
Moorea	1
Gimesia	1
Hyphomonas	6
Thermincola	1
Coprothermobacter	2
Sulfurovum	2
Amphritea	1
Solobacterium	1
Kluyvera	1
Sideroxydans	1
Prosthecochloris	1
Caldicoprobacter	1
Xanthomonas	27
Blautia	6
Asaia	2
Mycoplasma	112
Methylacidiphilum	2
Tepidanaerobacter	2
Gelidibacter	1
Blattabacterium	8
Homo	1
Allokutzneria	1
Zymobacter	1
Anaplasma	11
Trichodesmium	1
Chloroflexus	3
Belnapia	1
Ketogulonicigenium	2
Roseovarius	3
Desulfocurvus	1
Caldalkalibacillus	1
Elizabethkingia	2
Adhaeribacter	1
Dyella	3
Aquamicrobium	1
Microbacterium	11
Nitratifractor	1
Cylindrospermopsis	1
Lachnoclostridium	1
Tepidiphilus	1
Fodinicurvata	1
Actinomyces	27
Enterobacteriaceae	2
Arenimonas	5
Desmospora	1
Mastigocladopsis	1
Rhizobium	27
Coriobacteriaceae	1
Rheinheimera	4
Brochothrix	2
Avibacterium	1
Oceanobacter	1
Caloramator	1
Polymorphum	1
Psychrilyobacter	1
Kangiella	3
Sodalis	2
Riemerella	5
Kiloniella	1
Pelagibacterium	1
Eremococcus	1
Sphaerobacter	1
Oceanimonas	2
Flectobacillus	1
Cardiobacterium	2
Owenweeksia	1
Polycyclovorans	1
Nitritalea	1
Rhodoferax	2
Prolixibacter	1
Acetobacteraceae	1
Methanocorpusculum	2
Methylophilus	1
Chlamydia	108
Coprobacter	1
Kandleria	1
Natronomonas	2
Arenibacter	3
Centipeda	1
Xanthobacter	1
Gemmata	1
Francisella	34
Frankia	6
Halorhodospira	1
Dielma	1
Sphaerochaeta	3
Renibacterium	1
Enterococcus	132
Skermanella	1
Fibrella	1
Sporosarcina	2
Sulfobacillus	2
Aureimonas	1
Peptoniphilus	12
Lawsonia	2
Maricaulis	1
Edaphobacter	1
Ornithinimicrobium	1
Vibrio	135
Saprospira	1
Pandoraea	8
Stanieria	1
Syntrophomonas	1
Roseibium	1
Methylococcus	1
Dinoroseobacter	1
Anopheles	1
Pontibacillus	4
Roseivivax	2
Ehrlichia	6
Tsukamurella	1
Pseudomonas	121
Desulfonatronum	1
Nitrococcus	1
Dermatophilus	1
Nocardiopsis	14
Glycomyces	2
Caldimonas	1
Acidianus	1
Leclercia	1
Hydrogenobaculum	4
Aeromicrobium	1
Anaerovibrio	1
cyanobacterium	2
Thermaerobacter	2
Anaeroglobus	1
Aster	1
Acidobacterium	1
Parascardovia	2
Arsenophonus	1
Runella	3
Draconibacterium	1
Janibacter	1
Gracilibacillus	3
Kribbella	2
Plesiomonas	1
Tenacibaculum	2
Nitrincola	1
Planktomarina	1
Arhodomonas	1
Vitreoscilla	1
Propionimicrobium	1
Richelia	2
Baumannia	1
Bordetella	15
Simiduia	1
Truepera	1
Marinithermus	1
Thiorhodococcus	1
Acidithiobacillus	7
Niabella	2
Nitrobacter	2
Algoriphagus	5
Halosarcina	1
Thioclava	2
Mycobacterium	94
Cedecea	4
Melissococcus	2
Azohydromonas	1
Comamonas	7
Austwickia	1
Epilithonimonas	1
Pyramidobacter	1
Chloroherpeton	1
Desulfobulbus	4
Nostoc	6
Enorma	1
Tropheryma	2
Syntrophothermus	1
Propionispira	1
Hymenobacter	5
Streptobacillus	1
Nitrosococcus	3
Acetonema	1
Magnetospirillum	2
Bacteroidetes	1
Thiomonas	2
Thermanaerovibrio	2
Commensalibacter	1
Methylomicrobium	3
Methanotorris	3
Thermovirga	1
Brackiella	1
Cyanobium	2
Blastopirellula	1
Fluviicola	1
Arcticibacter	1
Lechevalieria	1
Aphanizomenon	1
Salinispora	3
Conexibacter	1
Dichelobacter	1
Gaetbulibacter	1
Haloferax	13
Caulobacter	6
Buchnera	14
Zunongwangia	1
Haliangium	1
Aromatoleum	1
Methanohalobium	1
Ktedonobacter	1
Parvularcula	2
Herpetosiphon	1
Thermogladius	1
Dactylococcopsis	1
delta	2
Geminocystis	1
Holospora	2
Desulfotomaculum	11
Carboxydothermus	1
Porphyrobacter	1
Streptomyces	103
Chlorobaculum	1
Oceanithermus	1
Rathayibacter	2
Solitalea	1
Meganema	1
Listonella	1
Desulfurococcus	3
Pedosphaera	1
Leptospirillum	2
Eggerthia	1
Caldicellulosiruptor	8
Brachymonas	1
Ponticaulis	1
Cryptosporidium	2
Rickettsia	45
Faecalibacterium	4
Acidimicrobium	1
Parabacteroides	11
Escherichia	403
Halothece	2
Robiginitomaculum	1
Luteimonas	2
Lachnobacterium	1
Salinivibrio	1
Catellicoccus	1
Anaeroarcus	1
Schistosoma	1
Micrococcus	2
Ruegeria	5
Marinilabilia	1
Sediminimonas	1
Dolosigranulum	1
Alloprevotella	2
Microvirgula	1
Massilia	3
Pseudothermotoga	4
Neisseria	70
uncultured	2
Paraprevotella	2
Marinitoga	1
Paucisalibacillus	1
Sneathia	1
Azospirillum	4
Kineosphaera	1
Geothrix	1
Stackebrandtia	1
Natranaerobius	1
Cesiribacter	1
Rhodobacter	7
Dermacoccus	2
Halosimplex	1
Geobacter	11
Desulfobacula	1
Actinoalloteichus	1
Kaistia	2
Cryptobacterium	1
Methylosarcina	2
Hippea	3
Rhodospirillum	4
Symbiobacterium	1
Halomicrobium	1
Haloterrigena	2
Flexithrix	1
Aestuariibacter	1
Haloarcula	7
Acidocella	2
Clostridiales	2
Pedobacter	6
Yaniella	1
Leisingera	2
Effusibacillus	1
Thermosipho	2
Herbidospora	1
Methanospirillum	1
Phenylobacterium	1
Humibacter	1
Thermosphaera	1
Isosphaera	1
Desulfohalobium	1
Halotalea	1
Vibrionales	1
Wolinella	1
Necropsobacter	1
Pelobacter	3
Intestinibacter	1
Gillisia	2
Thiolapillus	1
Pelotomaculum	1
Terrisporobacter	1
Drosophila	1
Bacteroides	77
Kosakonia	1
Aminiphilus	1
Acetobacterium	2
Plautia	1
Parvibaculum	1
Dactylosporangium	1
Leeia	1
Hydrogenobacter	1
Salipiger	1
Mesoflavibacter	2
Echinicola	2
Erysipelothrix	3
Methylocapsa	2
Agrococcus	1
Niveispirillum	1
Leifsonia	4
Curtobacterium	1
Delftia	2
Collimonas	2
Methylomarinum	1
Cryptosporangium	1
Rickettsiella	1
Rhodobacteraceae	1
Thiocapsa	1
Enterorhabdus	2
Catenibacterium	1
Prochlorothrix	1
Flavobacteriales	1
Elusimicrobium	1
Desulfosporosinus	5
Sulfitobacter	6
Salinibacter	3
Actinotignum	2
Gardnerella	15
Eikenella	1
Moorella	1
Methanosphaerula	1
Desulfovibrio	32
Catelliglobosispora	1
Cycloclasticus	2
Fervidobacterium	3
Rubrobacter	2
Nonlabens	3
Holdemania	1
Methanocella	3
Leptotrichia	5
Oribacterium	6
Altibacter	1
Chitinilyticum	2
Johnsonella	1
Pelosinus	3
Devosia	1
Actinosynnema	1
Alysiella	1
Carnobacterium	12
Derxia	1
Finegoldia	5
Terasakiella	1
Microcoleus	2
Alkalilimnicola	1
Allobaculum	1
Arthrobacter	14
Komagataeibacter	1
Leptonema	1
Nautilia	1
Erysipelatoclostridium	1
Methyloversatilis	1
Porphyromonas	15
Granulicoccus	1
Actinomadura	5
Halalkalicoccus	1
Rivularia	1
Sporomusa	1
Chlamydophila	10
Melioribacter	1
Hylemonella	1
Methanocaldococcus	6
Actinomycetospora	1
Desulfatiglans	1
Mannheimia	13
Gayadomonas	1
Thermomonospora	1
Sharpea	1
Fimbriimonas	1
Actinocatenispora	1
Ethanoligenens	1
Weeksella	1
Pseudogulbenkiania	2
Aminomonas	1
Roseomonas	3
Thiomicrospira	6
alpha	3
Neptunomonas	1
Sanguibacter	1
Anditalea	1
Arcanobacterium	1
Burkholderiales	2
Dyadobacter	4
Geodermatophilus	1
Rudanella	1
Sulfurihydrogenibium	3
Anaerobaculum	2
Thermoplasma	2
Phaeodactylibacter	1
Caldivirga	1
Granulicatella	2
Schleiferia	1
Jannaschia	1
Duganella	1
Mariprofundus	1
Fretibacterium	1
Pseudopedobacter	1
Starkeya	1
Gallionella	1
Ignisphaera	1
Selenomonas	12
Caloranaerobacter	1
Olsenella	3
Desulfitibacter	1
Cronobacter	7
Cobetia	1
Thermomonas	1
Onion	1
Halanaerobium	3
Joostella	1
Chitinivibrio	1
Algicola	1
Methanopyrus	1
Pseudoclavibacter	1
Heliobacterium	1
Shigella	20
Rhodonellum	1
Lysinibacillus	7
Nitrospina	1
Dethiosulfovibrio	2
Siansivirga	1
Endozoicomonas	3
Grimontia	1
Aestuariimicrobium	1
Longispora	1
Lentisphaera	1
Enterobacter	15
Aliagarivorans	1
Verminephrobacter	2
Pasteurella	7
Anaerostipes	4
Variovorax	4
Acholeplasma	9
Litoreibacter	1
Planococcus	4
Simplicispira	1
Klebsiella	40
Desulfomicrobium	2
Rubidibacter	1
Rickettsiales	1
Corynebacterium	96
beta	2
Emticicia	1
Thermoanaerobacter	11
Eggerthella	4
Thermocrinis	2
Mucilaginibacter	1
Streptosporangium	2
Dorea	2
Plasmodium	5
Methylobacillus	2
Silicibacter	2
Desulfurivibrio	1
Acetobacter	15
Fulvivirga	1
Dolichospermum	1
Paludibacter	1
Methanofollis	1
Acidilobus	1
Lamprocystis	1
Sediminibacillus	1
Thermovibrio	1
Thermophagus	1
Deferribacter	1
Tetrasphaera	1
Dokdonia	3
Phascolarctobacterium	1
Brachybacterium	5
Halogeometricum	2
Oceanicaulis	2
Aciduliprofundum	2
Perlucidibaca	1
Methylobacter	3
Stomatobaculum	1
Rahnella	3
Propionibacterium	93
Thermoanaerobacterium	4
Anaerotruncus	1
Planktothrix	1
Ignavibacterium	1
Pantoea	12
Arsenicicoccus	1
Cylindrospermum	1
Frateuria	1
Methylobacterium	10
Anaerofustis	1
Cardinium	1
Methylotenera	2
Haloglycomyces	1
Haloplasma	1
Dehalobacter	3
Gryllotalpicola	1
Simkania	1
Mobiluncus	8
Methanosphaera	1
Rhodothermus	2
Sorangium	2
Gilliamella	1
Knoellia	4
Chroococcidiopsis	1
Nitratireductor	4
Gordonia	17
secondary	2
Marvinbryantia	1
Turneriella	1
Lactobacillus	183
Marinomonas	5
Phaseolibacter	1
Penicillium	1
Pectobacterium	5
Nocardioides	4
Bradyrhizobium	13
Thalassiosira	1
Fischerella	2
Comamonadaceae	2
Actinopolymorpha	1
Cyanothece	8
Rikenella	1
Desulfobacca	1
Salsuginibacillus	1
Saccharophagus	1
Oligotropha	2
Mesorhizobium	7
Methanomassiliicoccus	1
Indibacter	1
Meiothermus	6
Methanomicrobium	1
Mesoplasma	5
Spirosoma	4
Tetragenococcus	2
Rhodovulum	1
Ferrovum	1
endosymbiont	4
Danio	1
Bergeyella	2
Thalassobaculum	1
Andreprevotia	1
Nesterenkonia	2
Alkaliflexus	1
Flavobacteria	3
Mycetocola	1
Paracoccus	8
Picrophilus	1
Aquimarina	4
Erwinia	11
Gluconacetobacter	5
Marinospirillum	2
Wigglesworthia	2
Marinococcus	1
Kineococcus	1
Halomonas	16
Caldisericum	1
Acinetobacter	152
Rhodopirellula	3
Beggiatoa	2
Leishmania	1
Olivibacter	1
Toxoplasma	1
Oerskovia	1
Planomicrobium	1
Treponema	41
Actinoplanes	5
Aequorivita	2
Peptostreptococcus	3
Clostridiisalibacter	1
Odoribacter	2
Salinisphaera	2
Lysobacter	7
Isoptericola	1
Thauera	4
Afifella	1
Butyrivibrio	4
Dechlorosoma	1
Chitinophaga	1
Staphylothermus	2
Chelativorans	1
Pyrococcus	7
Shimwellia	1
Methyloferula	1
Sagittula	1
Nitrosospira	2
Facklamia	4
Sphingopyxis	3
Cyanobacterium	2
Succinivibrio	1
Enhydrobacter	1
Cucumibacter	1
Crocosphaera	1
Citreicella	2
Celeribacter	2
Multi-Organism-Groupings	/home/fpuente/Backup/BioCyc/data/metacyc
	1
Halalkalibacillus	1
Aneurinibacillus	2
Rhodoluna	1
Robiginitalea	1
Rhodobacterales	1
Lentzea	1
Desulfurobacterium	1
Actibacterium	2
Haematobacter	1
Leptothrix	1
Thioalkalimicrobium	2
Helicobacter	187
Roseibacterium	1
Synechocystis	6
Methylosinus	1
Halobacillus	4
Waddlia	1
Helcococcus	2
Pimelobacter	1
Methylocaldum	1
Turicibacter	2
Bilophila	2
Marmoricola	1
Wenxinia	1
Saccharothrix	2
Saccharibacillus	2
Dickeya	5
Thermoplasmatales	1
Mobilicoccus	1
Brachyspira	9
Aliiglaciecola	1
Mucispirillum	1
Acaryochloris	2
Sinorhizobium	12
Methanobrevibacter	8
Actinobacillus	12
Thalassolituus	1
Citromicrobium	2
Allochromatium	1
Galbibacter	1
Saccharopolyspora	3
Halococcus	7
Acidovorax	9
Verrucomicrobiae	1
Methanobacterium	4
Faecalicoccus	1
Phaeospirillum	1
Agrobacterium	8
Parvimonas	4
Caldibacillus	1
Prauserella	1
Balneola	1
Martelella	2
Flexistipes	1
Zhouia	1
Bavariicoccus	1
Jonesia	2
Butyricimonas	2
Chitiniphilus	1
Salinispira	1
Acaricomes	1
Opitutus	1
Salinimonas	1
Aeropyrum	2
Peptoclostridium	9
Jejuia	1
Natronolimnobius	1
Thalassospira	5
Leeuwenhoekiella	1
Gloeobacter	2
Marivirga	1
Opitutaceae	3
Phycicoccus	1
Verrucosispora	1
Deefgea	1
Kurthia	3
Maritalea	1
Nocardioidaceae	1
Ammonifex	1
Anaerococcus	8
Arcobacter	7
Atopobacter	1
Labrenzia	2
Alloiococcus	1
Calothrix	2
Thermobrachium	1
Henriciella	1
Aliivibrio	2
Fusobacterium	30
Brevibacillus	8
Hirschia	2
