	Amino Acids Biosynthesis	Hormones Biosynthesis	Aromatic Compounds Degradation	Other Biosynthesis	Superpathways	Bioluminescence	Aminoacyl-tRNA Charging	Chlorinated Compounds Degradation	Degradation/Utilization/Assimilation - Other	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Pentose Phosphate Pathways	Hydrogen Production	Generation of Precursor Metabolites and Energy	Interconversions	Carboxylates Degradation	Siderophore Biosynthesis	Reactive Oxygen Species Degradation	Respiration	Fermentation	Metabolic Regulators Biosynthesis	Electron Transfer	Metabolic Clusters	Chemoautotrophic Energy Metabolism	Inorganic Nutrients Metabolism	Protein Modification	Glycolysis	Mercury Detoxification	Amines and Polyamines Degradation	Fatty Acid and Lipids Degradation	Aldehyde Degradation	Arsenate Detoxification	Detoxification	Seleno-Amino Acid Detoxification	Secondary Metabolites Biosynthesis	C1 Compounds Utilization and Assimilation	Inactivation	Polymeric Compounds Degradation	Cofactors, Prosthetic Groups, Electron Carriers Degradation	Cyanide Detoxification	Steroids Degradation	Antibiotic Resistance	Secondary Metabolites Degradation	Amines and Polyamines Biosynthesis	Acetyl-CoA Biosynthesis	Carbohydrates Biosynthesis	Photosynthesis	Methylglyoxal Detoxification	Carbohydrates Degradation	Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Cell Structures Biosynthesis	Other	Amino Acids Degradation	Protein Degradation	Alcohols Degradation	Aromatic Compounds Biosynthesis	Activation	Storage Compounds Biosynthesis	Hormones Degradation	TCA cycle	Acid Resistance	Fatty Acid and Lipid Biosynthesis	Entner-Duodoroff Pathways	Nucleosides and Nucleotides Degradation
Pelagibacterium	0.3709677419354839	0.0	0.06060606060606061	0.0	0.18733509234828497	0.0	0.5	0.023809523809523808	0.03225806451612903	0.23140495867768596	0.75	0.0	0.13333333333333333	0.05555555555555555	0.19696969696969696	0.0	0.5	0.15789473684210525	0.015151515151515152	0.10714285714285714	0.21875	0.10909090909090909	0.16666666666666666	0.11382113821138211	0.0	0.0	1.0	0.2459016393442623	0.11428571428571428	0.2727272727272727	0.4	0.13333333333333333	0.0	0.00410958904109589	0.16129032258064516	0.0	0.08695652173913043	0.0	0.0	0.125	0.14285714285714285	0.12727272727272726	0.18421052631578946	0.25	0.07586206896551724	0.0	0.25	0.1391304347826087	0.0	0.6307692307692307	0.0958904109589041	0.0	0.25217391304347825	0.0	0.3	0.1875	0.3	0.2	0.0	0.4444444444444444	0.3333333333333333	0.0918918918918919	0.3333333333333333	0.4864864864864865
Pelobacter	0.4596774193548387	0.043478260869565216	0.020202020202020204	0.0	0.20316622691292877	0.0	0.75	0.0	0.0967741935483871	0.2975206611570248	0.75	0.3333333333333333	0.03333333333333333	0.05555555555555555	0.21212121212121213	0.05263157894736842	1.0	0.12280701754385964	0.21212121212121213	0.32142857142857145	0.15625	0.16363636363636364	0.2222222222222222	0.18699186991869918	0.0	0.4	1.0	0.16393442622950818	0.14285714285714285	0.18181818181818182	0.0	0.0	0.0	0.005479452054794521	0.25806451612903225	0.0	0.06521739130434782	0.0	0.0	0.75	0.14285714285714285	0.1	0.21052631578947367	0.25	0.1724137931034483	0.14285714285714285	0.25	0.0782608695652174	0.0	0.6	0.1917808219178082	0.2	0.25217391304347825	0.0	0.25	0.15625	0.3	0.0	0.0	0.6666666666666666	0.6666666666666666	0.14054054054054055	0.0	0.3783783783783784
Pelodictyon	0.3225806451612903	0.014492753623188406	0.0	0.0	0.12928759894459102	0.0	0.5	0.0	0.0	0.2190082644628099	0.75	0.5555555555555556	0.0	0.0	0.045454545454545456	0.0	0.5	0.08771929824561403	0.07575757575757576	0.21428571428571427	0.09375	0.09090909090909091	0.3888888888888889	0.18699186991869918	0.0	0.0	0.0	0.0	0.02857142857142857	0.09090909090909091	0.4	0.0	0.0	0.0027397260273972603	0.06451612903225806	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.00909090909090909	0.05263157894736842	0.25	0.09655172413793103	0.14285714285714285	0.125	0.06086956521739131	0.0	0.4153846153846154	0.1232876712328767	0.0	0.08695652173913043	0.0	0.2	0.09375	0.2	0.0	0.0	0.2222222222222222	0.3333333333333333	0.07567567567567568	0.0	0.13513513513513514
Pelosinus	0.27419354838709675	0.0	0.020202020202020204	0.0	0.10290237467018469	0.0	0.75	0.0	0.0	0.1487603305785124	0.75	0.1111111111111111	0.03333333333333333	0.05555555555555555	0.22727272727272727	0.0	1.0	0.07017543859649122	0.15151515151515152	0.03571428571428571	0.09375	0.07272727272727272	0.05555555555555555	0.056910569105691054	0.0	0.4	0.0	0.13114754098360656	0.08571428571428572	0.2727272727272727	0.0	0.0	0.0	0.0013698630136986301	0.16129032258064516	0.0	0.021739130434782608	0.0	0.0	0.0	0.14285714285714285	0.16363636363636364	0.10526315789473684	0.0	0.06896551724137931	0.14285714285714285	0.25	0.10434782608695652	0.0	0.46153846153846156	0.1232876712328767	0.0	0.13043478260869565	0.0	0.25	0.15625	0.1	0.0	0.0	0.0	0.0	0.05405405405405406	0.0	0.40540540540540543
Pelotomaculum	0.3387096774193548	0.0	0.010101010101010102	0.0	0.11609498680738786	0.0	0.75	0.0	0.0	0.12396694214876033	0.25	0.5555555555555556	0.0	0.0	0.07575757575757576	0.0	0.5	0.05263157894736842	0.22727272727272727	0.07142857142857142	0.03125	0.14545454545454545	0.3333333333333333	0.13008130081300814	0.0	0.2	0.0	0.01639344262295082	0.08571428571428572	0.0	0.0	0.0	0.0	0.0013698630136986301	0.12903225806451613	0.0	0.06521739130434782	0.0	0.0	0.125	0.14285714285714285	0.00909090909090909	0.13157894736842105	0.0	0.06896551724137931	0.0	0.0	0.05217391304347826	0.0	0.5230769230769231	0.1232876712328767	0.0	0.17391304347826086	0.0	0.1	0.125	0.2	0.0	0.0	0.1111111111111111	0.3333333333333333	0.06486486486486487	0.3333333333333333	0.2972972972972973
Penicillium	0.3548387096774194	0.014492753623188406	0.03535353535353535	0.0	0.0870712401055409	0.0	0.25	0.0	0.0967741935483871	0.15702479338842976	1.0	0.0	0.03333333333333333	0.05555555555555555	0.07575757575757576	0.0	0.5	0.12280701754385964	0.09090909090909091	0.14285714285714285	0.15625	0.03636363636363636	0.05555555555555555	0.08943089430894309	0.08333333333333333	0.6	0.0	0.19672131147540983	0.2571428571428571	0.18181818181818182	0.0	0.13333333333333333	0.0	0.026027397260273973	0.16129032258064516	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.07272727272727272	0.21052631578947367	0.25	0.0896551724137931	0.0	0.25	0.10434782608695652	0.0	0.1076923076923077	0.0	0.2	0.2608695652173913	0.0	0.2	0.15625	0.3	0.0	0.0	0.1111111111111111	0.3333333333333333	0.15675675675675677	0.0	0.10810810810810811
Peptoclostridium	0.3387096774193548	0.0	0.020202020202020204	0.0	0.17678100263852242	0.0	0.5	0.047619047619047616	0.0	0.21487603305785125	0.25	0.6666666666666666	0.0	0.05555555555555555	0.18181818181818182	0.0	0.5	0.08771929824561403	0.3787878787878788	0.07142857142857142	0.0	0.09090909090909091	0.2222222222222222	0.12195121951219512	0.0	0.6	0.0	0.21311475409836064	0.08571428571428572	0.2727272727272727	0.2	0.0	0.0	0.00410958904109589	0.16129032258064516	0.0	0.06521739130434782	0.0	0.0	0.125	0.14285714285714285	0.1	0.13157894736842105	0.25	0.0896551724137931	0.0	0.25	0.14782608695652175	0.0	0.5692307692307692	0.1643835616438356	0.0	0.2	0.0	0.25	0.125	0.1	0.0	0.0	0.1111111111111111	0.3333333333333333	0.08648648648648649	0.0	0.4594594594594595
Peptoniphilus	0.22580645161290322	0.0	0.010101010101010102	0.0	0.08970976253298153	0.0	0.75	0.0	0.0	0.13636363636363635	0.25	0.1111111111111111	0.03333333333333333	0.0	0.045454545454545456	0.0	0.0	0.0	0.19696969696969696	0.03571428571428571	0.0	0.07272727272727272	0.05555555555555555	0.032520325203252036	0.0	0.2	0.0	0.03278688524590164	0.11428571428571428	0.18181818181818182	0.0	0.0	0.0	0.0027397260273972603	0.0967741935483871	0.0	0.0	0.0	0.0	0.125	0.14285714285714285	0.00909090909090909	0.07894736842105263	0.0	0.020689655172413793	0.0	0.25	0.02608695652173913	0.0	0.5846153846153846	0.0958904109589041	0.0	0.11304347826086956	0.0	0.05	0.125	0.0	0.2	0.0	0.0	0.0	0.06486486486486487	0.3333333333333333	0.24324324324324326
Peptostreptococcaceae	0.1774193548387097	0.0	0.005050505050505051	0.0	0.08443271767810026	0.0	0.25	0.0	0.0	0.11570247933884298	0.75	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.017543859649122806	0.25757575757575757	0.0	0.0	0.07272727272727272	0.0	0.024390243902439025	0.0	0.4	0.0	0.04918032786885246	0.0	0.09090909090909091	0.0	0.0	0.0	0.0013698630136986301	0.06451612903225806	0.0	0.043478260869565216	0.0	0.0	0.125	0.14285714285714285	0.01818181818181818	0.05263157894736842	0.0	0.06206896551724138	0.0	0.0	0.06956521739130435	0.0	0.5384615384615384	0.1232876712328767	0.0	0.08695652173913043	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.043243243243243246	0.0	0.40540540540540543
Peptostreptococcus	0.1774193548387097	0.0	0.005050505050505051	0.0	0.10026385224274406	0.0	0.25	0.0	0.0	0.15702479338842976	0.25	0.1111111111111111	0.0	0.0	0.030303030303030304	0.0	0.5	0.07017543859649122	0.22727272727272727	0.03571428571428571	0.03125	0.07272727272727272	0.1111111111111111	0.04878048780487805	0.0	0.2	0.0	0.04918032786885246	0.08571428571428572	0.18181818181818182	0.0	0.0	0.0	0.0027397260273972603	0.0967741935483871	0.0	0.043478260869565216	0.0	0.0	0.0	0.2857142857142857	0.02727272727272727	0.05263157894736842	0.0	0.04827586206896552	0.0	0.25	0.06956521739130435	0.0	0.6153846153846154	0.1095890410958904	0.0	0.10434782608695652	0.0	0.35	0.09375	0.1	0.0	0.0	0.0	0.0	0.05405405405405406	0.0	0.3783783783783784
