PROLINE-DEG	PROUT-PWY
Betaine-Biosynthesis	P542-PWY;PWY-4021;CHOLINE-BETAINE-ANA-PWY;BETSYN-PWY;PWY-3722;PWY1F-353;PWY-6004;P541-PWY
NAN-MANNACs-degradation	PWY0-1324;PWY-7581
CYSTEINE-DEG	CYSTEINE-DEG-PWY;PWY-5329;LCYSDEG-PWY
SPERMINE-SPERMIDINE-DEG	PWY-6117;PWY-6440;PWY-6441
Phenylethylamine-Degradation	PWY-6534;2PHENDEG-PWY
Benzoyl-CoA-Degradation	CENTBENZCOA-PWY;PWY-1361;P321-PWY
GLUTAMINE-DEG	GLUTAMINEFUM-PWY;GLUTAMINDEG-PWY
TYROSINE-DEG	TYRFUMCAT-PWY;PWY-5151;PWY-7514;PWY3O-4108
Thiamin-Diphosphate-Biosynthesis	PWY-6893;PWY-6908;PWY-6894;PWY-6907
PHENYLALANINE-SYN	PWY-7432;PWY-6628;PWY-3462;PHESYN
Fluorene-Degradation	FLUORENE-DEG-9-ONE-PWY;PWY-1381
Methionine-Salvage	PWY-7528;PWY-7527;PWY-5441;PWY-7270;ADENOSYLHOMOCYSCAT-PWY
ALANINE-DEG	ALADEG-PWY;ALACAT2-PWY;ALANINE-DEG3-PWY;PWY1-2
Naphthalene-Degradation	PWY-7620;PWY-5427
Phylloquinone-Biosynthesis	PWY-5027;PWY-5863
Amino-Acids-Modification	PWY-7546;PWY-5905;PWY-6482
Adenine-Adenosine-Salvage	P121-PWY;PWY-6610;PWY-6619;PWY-6605;PWY-6609;PWY-6611
